BNpcName,BNpcNameId,BNpcBaseId,TerritoryId,Placename,Level
opo-opo,5,5,f1f4,North Shroud,9
,0,37,event_test,Unknown(event_test),0
,0,47,event_test,Unknown(event_test),0
roselet,22,22,f1f1,Central Shroud,13
tree slug,39,39,f1f1,Central Shroud,14
lindwurm,130,53,f1f1,Central Shroud,31
ochu,33,33,f1f2,East Shroud,40
molted ziz,222,178,f1f2,East Shroud,40
ochu,33,33,f1f2,East Shroud,41
old-growth treant,233,24,f1f2,East Shroud,41
sylvan snarl,66,764,f1f2,East Shroud,43
sylvan screech,64,762,f1f2,East Shroud,42
sylvan sigh,65,763,f1f2,East Shroud,42
,0,14,f1f1,Central Shroud,0
,0,2,f1f1,Central Shroud,0
,0,11,f1f1,Central Shroud,0
Sylphlands sentinel,163,24,f1f2,East Shroud,54
Sylphlands sentinel,163,24,f1f2,East Shroud,56
sylph bonnet,166,48,f1f2,East Shroud,50
Sylphlands condor,567,13,f1f2,East Shroud,50
milkroot sapling,162,23,f1f2,East Shroud,50
pit boar,161,16,f1f2,East Shroud,50
Galvanth the Dominator,73,76,f1d1,Unknown(f1d1),16
Dalamud priest,79,82,f1d1,Unknown(f1d1),16
gravedigger,109,1345,f1d1,Unknown(f1d1),16
Dalamud priest,79,83,f1d1,Unknown(f1d1),16
Octavel the Unforgiving,119,137,f1d1,Unknown(f1d1),16
skeleton soldier,110,126,f1d1,Unknown(f1d1),16
inconspicuous imp,456,125,f1d1,Unknown(f1d1),16
Deepcroft miteling,111,127,f1d1,Unknown(f1d1),16
sylpheed sigh,68,71,f1f2,East Shroud,50
sylpheed snarl,69,72,f1f2,East Shroud,50
sylpheed screech,67,70,f1f2,East Shroud,50
Sylphlands sentinel,163,24,f1f2,East Shroud,52
dreamtoad,164,27,f1f2,East Shroud,52
sylph bonnet,166,48,f1f2,East Shroud,52
pit boar,161,16,f1f2,East Shroud,52
sylpheed screech,67,70,f1f2,East Shroud,52
sylpheed song,70,73,f1f2,East Shroud,52
sylpheed sigh,68,71,f1f2,East Shroud,52
sylpheed snarl,69,72,f1f2,East Shroud,52
milkroot sapling,162,23,f1f2,East Shroud,52
Sylphlands condor,567,13,f1f2,East Shroud,52
Aerico,75,78,f1f2,East Shroud,54
milkroot cluster,165,33,f1f2,East Shroud,52
,0,2,default,Unknown(default),1
,0,4,default,Unknown(default),1
,0,5,default,Unknown(default),1
,0,7,default,Unknown(default),1
,0,9,default,Unknown(default),1
,0,10,default,Unknown(default),1
,0,11,default,Unknown(default),1
,0,12,default,Unknown(default),1
,1,14,default,Unknown(default),1
,1,15,default,Unknown(default),1
,0,17,default,Unknown(default),1
,0,18,default,Unknown(default),1
,0,19,default,Unknown(default),1
,0,20,default,Unknown(default),1
,0,21,default,Unknown(default),1
,0,22,default,Unknown(default),1
,0,24,default,Unknown(default),1
,0,26,default,Unknown(default),1
,0,28,default,Unknown(default),1
,0,119,default,Unknown(default),1
,0,29,default,Unknown(default),1
,0,75,default,Unknown(default),1
,0,30,default,Unknown(default),1
,0,34,default,Unknown(default),1
,0,36,default,Unknown(default),1
,0,37,default,Unknown(default),1
,0,38,default,Unknown(default),1
,0,39,default,Unknown(default),1
,0,41,default,Unknown(default),1
,0,57,default,Unknown(default),1
,0,42,default,Unknown(default),1
,0,43,default,Unknown(default),1
,0,45,default,Unknown(default),1
,0,46,default,Unknown(default),1
,0,47,default,Unknown(default),1
,0,49,default,Unknown(default),1
,0,53,default,Unknown(default),1
,0,118,default,Unknown(default),1
,0,50,default,Unknown(default),1
,0,51,default,Unknown(default),1
,0,52,default,Unknown(default),1
,0,55,default,Unknown(default),1
,0,82,default,Unknown(default),1
,0,84,default,Unknown(default),1
,0,88,default,Unknown(default),1
milkroot cluster,165,33,f1f2,East Shroud,54
sylpheed snarl,69,72,f1f2,East Shroud,54
sylpheed sigh,68,71,f1f2,East Shroud,54
dreamtoad,164,27,f1f2,East Shroud,54
Sylphlands condor,567,13,f1f2,East Shroud,54
sylph bonnet,166,48,f1f2,East Shroud,54
milkroot sapling,162,23,f1f2,East Shroud,54
pit boar,161,16,f1f2,East Shroud,54
sylpheed screech,67,70,f1f2,East Shroud,54
Silbexio of the Dusken Knot,71,74,f1f2,East Shroud,57
sylpheed snarl,69,72,f1f2,East Shroud,56
sylpheed sigh,68,71,f1f2,East Shroud,56
sylpheed screech,67,70,f1f2,East Shroud,56
,0,17,default,Unknown(default),3
,1,17,default,Unknown(default),0
,0,2,w1f2,Central Thanalan,0
,0,14,w1f2,Central Thanalan,0
,0,26,w1f2,Central Thanalan,0
microchu,32,32,f1f4,North Shroud,6
microchu,32,32,f1f4,North Shroud,8
dullahan,29,29,f1f4,North Shroud,48
dullahan,29,29,f1f4,North Shroud,47
midge swarm,118,136,f1f4,North Shroud,9
midge swarm,118,136,f1f4,North Shroud,5
midge swarm,118,136,f1f4,North Shroud,7
midge swarm,118,136,f1f4,North Shroud,6
midge swarm,118,136,f1f4,North Shroud,8
little ladybug,49,49,f1f4,North Shroud,1
little ladybug,49,49,f1f4,North Shroud,2
,0,53,default,Unknown(default),0
little ladybug,49,49,f1f4,North Shroud,3
little ladybug,49,49,f1f4,North Shroud,4
lesser kalong,171,130,f1f4,North Shroud,37
lesser kalong,112,130,f1f4,North Shroud,46
lesser kalong,112,130,f1f4,North Shroud,48
lesser kalong,112,130,f1f4,North Shroud,47
balloon,17,17,f1f4,North Shroud,25
balloon,17,17,f1f4,North Shroud,28
bright balloon,2189,2266,f1f4,North Shroud,29
balloon,17,17,f1f4,North Shroud,27
,0,2,event_test,Unknown(event_test),0
,0,2,default,Unknown(default),0
,0,10,event_test,Unknown(event_test),0
treant sapling,128,1446,f1f4,North Shroud,12
treant sapling,128,1446,f1f4,North Shroud,17
little ladybug,49,49,f1f1,Central Shroud,1
little ladybug,49,49,f1f1,Central Shroud,2
treant sapling,128,1446,f1f1,Central Shroud,12
little ladybug,49,49,f1f1,Central Shroud,3
little ladybug,49,49,f1f1,Central Shroud,4
water sprite,56,59,f1f1,Central Shroud,5
,0,12,event_test,Unknown(event_test),0
water sprite,56,59,f1f1,Central Shroud,6
water sprite,56,59,f1f1,Central Shroud,9
water sprite,56,59,f1f1,Central Shroud,7
hoglet,195,14,f1f1,Central Shroud,8
Qiqirn scrambler,218,771,f1f1,Central Shroud,10
hornet swarm,54,57,f1f1,Central Shroud,10
hornet swarm,54,57,f1f1,Central Shroud,12
hornet swarm,54,57,f1f1,Central Shroud,11
hornet swarm,54,57,f1f1,Central Shroud,13
hornet swarm,54,57,f1f1,Central Shroud,14
brood ziz,221,178,f1f1,Central Shroud,30
ziz,224,179,f1f4,North Shroud,28
Ixali windtalon,436,747,f1f4,North Shroud,47
Ixali boldwing,103,748,f1f4,North Shroud,47
treant sapling,128,1446,f1f1,Central Shroud,17
,0,17,event_test,Unknown(event_test),0
Ixali scout,190,113,f1f4,North Shroud,8
prison pteroc,153,1354,f1r1,Unknown(f1r1),24
mitetrap,155,1360,f1r1,Unknown(f1r1),24
prison pudding,158,1356,f1r1,Unknown(f1r1),24
Mun-Tuy sapling,154,1359,f1r1,Unknown(f1r1),24
lightning sprite,117,1358,f1r1,Unknown(f1r1),24
cell mite,157,1361,f1r1,Unknown(f1r1),24
tainted louse,151,1353,f1r1,Unknown(f1r1),24
Antares,92,102,f1r1,Unknown(f1r1),24
,0,123,default,Unknown(default),1
saprophagous slug,188,39,f1f1,Central Shroud,10
marshlight,187,45,f1f1,Central Shroud,9
,0,76,default,Unknown(default),1
,0,124,default,Unknown(default),1
,0,66,default,Unknown(default),1
,0,106,default,Unknown(default),1
Redbelly swarmpoint,121,144,f1f3,South Shroud,22
Redbelly chanter,84,147,f1f3,South Shroud,20
Redbelly sharpeye,83,145,f1f3,South Shroud,20
parasite funguar,141,47,f1f1,Central Shroud,5
lightning spark,2190,2267,f1f1,Central Shroud,29
lightning sprite,117,135,f1f1,Central Shroud,32
lightning sprite,117,135,f1f1,Central Shroud,31
lightning sprite,117,135,f1f1,Central Shroud,30
lightning sprite,117,135,f1f1,Central Shroud,33
spriggan,91,101,f1f1,Central Shroud,33
spriggan,91,98,f1f1,Central Shroud,33
spriggan,91,100,f1f1,Central Shroud,33
spriggan,91,99,f1f1,Central Shroud,33
spriggan,91,98,f1f1,Central Shroud,34
spriggan,91,99,f1f1,Central Shroud,34
spriggan,91,100,f1f1,Central Shroud,34
spriggan,91,101,f1f1,Central Shroud,34
lightning sprite,117,135,f1f1,Central Shroud,34
leafbleed ochu,497,1393,f1f2,East Shroud,20
wild hoglet,14,518,f1f2,East Shroud,20
pus gnat,125,151,f1f2,East Shroud,20
adamantoise,34,34,f1f3,South Shroud,31
bigmouth orobon,235,302,f1f3,South Shroud,31
adamantoise,34,34,f1f3,South Shroud,33
treant,24,24,f1f3,South Shroud,39
deepvoid deathmouse,170,143,f1f3,South Shroud,35
treant,24,24,f1f3,South Shroud,38
hoverfly swarm,168,41,f1f3,South Shroud,32
hoverfly swarm,168,41,f1f3,South Shroud,31
hoverfly swarm,168,41,f1f3,South Shroud,33
hoverfly swarm,168,41,f1f3,South Shroud,34
hoverfly swarm,168,41,f1f3,South Shroud,30
lesser kalong,171,130,f1f3,South Shroud,36
lesser kalong,171,130,f1f3,South Shroud,35
will-o'-the-wisp,45,45,f1f3,South Shroud,38
lesser kalong,171,130,f1f3,South Shroud,37
wind sprite,115,133,f1f3,South Shroud,20
wind sprite,115,133,f1f3,South Shroud,21
wind sprite,115,133,f1f3,South Shroud,24
wind sprite,115,133,f1f3,South Shroud,23
wind sprite,115,133,f1f3,South Shroud,22
Redbelly lookout,52,84,f1f3,South Shroud,27
Redbelly larcener,172,86,f1f3,South Shroud,27
Redbelly sharpeye,83,87,f1f3,South Shroud,26
Redbelly sharpeye,83,87,f1f3,South Shroud,27
Coeurlclaw cutter,169,311,f1f3,South Shroud,29
Coeurlclaw hunter,139,81,f1f3,South Shroud,29
Coeurlclaw poacher,140,79,f1f3,South Shroud,29
lesser kalong,112,130,f1f3,South Shroud,45
lesser kalong,112,130,f1f3,South Shroud,46
lesser kalong,112,130,f1f3,South Shroud,47
water sprite,56,59,f1f3,South Shroud,27
water sprite,56,59,f1f3,South Shroud,25
water sprite,56,59,f1f3,South Shroud,28
Coeurlclaw poacher,140,79,f1f3,South Shroud,32
Coeurlclaw cutter,169,311,f1f3,South Shroud,32
Redbelly lookout,52,84,f1f3,South Shroud,24
Redbelly larcener,172,86,f1f3,South Shroud,24
Redbelly sharpeye,83,87,f1f3,South Shroud,24
Redbelly lookout,52,84,f1f3,South Shroud,26
Redbelly larcener,172,86,f1f3,South Shroud,26
water sprite,56,59,f1f3,South Shroud,50
Redbelly hivekeep,82,86,f1f3,South Shroud,28
Redbelly hivekeep,82,86,f1f3,South Shroud,30
Redbelly hivekeep,82,86,f1f3,South Shroud,32
Shredder,74,77,f1f3,South Shroud,33
Severaint Seven Splinter,81,85,f1f3,South Shroud,33
Redbelly chanter,84,88,f1f3,South Shroud,32
Redbelly lookout,52,84,f1f3,South Shroud,32
Redbelly sharpeye,83,87,f1f3,South Shroud,32
Redbelly sharpeye,83,87,f1f3,South Shroud,28
Redbelly sharpeye,83,87,f1f3,South Shroud,30
Redbelly lookout,52,84,f1f3,South Shroud,30
anole familiar,173,53,f1f3,South Shroud,30
anole familiar,173,53,f1f3,South Shroud,28
anole familiar,173,53,f1f3,South Shroud,32
goblin thug,50,52,f1f3,South Shroud,28
Ailbert the Lost,189,155,f1f4,North Shroud,8
hornet swarm,54,57,f1f2,East Shroud,11
hornet swarm,54,57,f1f2,East Shroud,14
hornet swarm,54,57,f1f2,East Shroud,12
hornet swarm,54,57,f1f2,East Shroud,10
hornet swarm,54,57,f1f2,East Shroud,13
ziz gorlin,223,179,f1f2,East Shroud,20
boring weevil,36,36,f1f2,East Shroud,21
boring weevil,36,36,f1f2,East Shroud,18
boring weevil,36,36,f1f2,East Shroud,17
boring weevil,36,36,f1f2,East Shroud,16
boring weevil,36,36,f1f2,East Shroud,15
black bat,38,38,f1f2,East Shroud,21
black bat,38,38,f1f2,East Shroud,24
black bat,38,38,f1f2,East Shroud,20
wind sprite,115,133,f1f2,East Shroud,43
wind sprite,115,133,f1f2,East Shroud,40
wind sprite,115,133,f1f2,East Shroud,41
wind sprite,115,133,f1f2,East Shroud,42
wind sprite,115,133,f1f2,East Shroud,44
3rd Cohort secutor,60,63,f1f2,East Shroud,44
3rd Cohort signifer,61,64,f1f2,East Shroud,44
3rd Cohort hoplomachus,53,55,f1f2,East Shroud,44
watchwolf,174,141,f1f4,North Shroud,46
Janremi Blackheart,185,152,f1f1,Central Shroud,15
hedge knight,186,153,f1f1,Central Shroud,14
hedge knight,186,154,f1f1,Central Shroud,15
3rd Cohort laquearius,58,61,f1f2,East Shroud,42
3rd Cohort eques,59,62,f1f2,East Shroud,42
3rd Cohort hoplomachus,53,55,f1f2,East Shroud,42
arbor buzzard,13,12,f1f1,Central Shroud,11
crater golem,131,30,f1f1,Central Shroud,43
antelope stag,4,4,f1f3,South Shroud,26
tainted earth sprite,134,294,f1f4,North Shroud,5
Qiqirn beater,219,170,f1f4,North Shroud,29
lesser kalong,171,130,f1f3,South Shroud,38
lesser kalong,171,130,f1f3,South Shroud,39
Ak-Inik varlet,143,1346,f1d1,Unknown(f1d1),16
croftlight,147,1352,f1d1,Unknown(f1d1),16
carrion beetle,145,1348,f1d1,Unknown(f1d1),16
Deepcroft miteling,111,1350,f1d1,Unknown(f1d1),16
Ak-Mena varlet,144,1347,f1d1,Unknown(f1d1),16
fleshfly swarm,146,1349,f1d1,Unknown(f1d1),16
Ak-Mena groundsman,1271,1388,f1d1,Unknown(f1d1),16
yarzon feeder,284,1351,f1d1,Unknown(f1d1),16
black bat,38,38,f1f2,East Shroud,23
black eft,196,160,f1f1,Central Shroud,6
bog yarzon,197,159,f1f1,Central Shroud,7
Ixali dulltalon,192,743,f1f4,North Shroud,5
Ixali lostwing,193,744,f1f4,North Shroud,5
Ixali slowbeak,194,745,f1f4,North Shroud,5
dewdrinker ladybug,191,163,f1f4,North Shroud,7
Kottos,548,107,w1d1,Unknown(w1d1),17
blasting cap,1303,1400,w1d1,Unknown(w1d1),17
Ichorous Ire,554,948,w1d1,Unknown(w1d1),17
Gyges the Great,101,112,w1d1,Unknown(w1d1),17
,0,2,s1f6,Outer La Noscea,0
,0,4,s1f6,Outer La Noscea,0
puk hatchling,402,831,w1f1,Western Thanalan,13
puk hatchling,402,831,w1f1,Western Thanalan,14
lemur,6,827,w1f1,Western Thanalan,15
tamed spriggan,1260,825,w1f1,Western Thanalan,13
tamed spriggan,1260,825,w1f1,Western Thanalan,15
rasher hog,1259,826,w1f1,Western Thanalan,17
yarzon lurker,1043,828,w1f1,Western Thanalan,15
yarzon lurker,1043,828,w1f1,Western Thanalan,16
ledgeleaper,1261,824,w1f1,Western Thanalan,17
shade seeker,1209,942,s1d1,Unknown(s1d1),12
shallowtail Reaver,342,412,s1d1,Unknown(s1d1),15
Ifrit,1185,209,w1fa,Unknown(w1fa),50
boulder,1262,433,w1d1,Unknown(w1d1),5
boulder,1262,433,w1d1,Unknown(w1d1),19
Graffias,444,259,f1r1,Unknown(f1r1),24
,0,2,event_test,Unknown(event_test),3
eft,289,835,w1f2,Central Thanalan,12
gil turtle,1258,832,w1f2,Central Thanalan,17
amateur raider,1257,834,w1f2,Central Thanalan,15
cattle tyrant,1315,12,s1f2,Lower La Noscea,30
plainstrider,965,2,s1f2,Lower La Noscea,30
giant oxpecker,1316,179,s1f2,Lower La Noscea,30
stone servant,988,267,w1d1,Unknown(w1d1),17
Lady Amandine,422,255,f1d2,Unknown(f1d2),28
lady's handmaiden,424,256,f1d2,Unknown(f1d2),28
attic bat,430,268,f1d2,Unknown(f1d2),28
manor sentry,428,258,f1d2,Unknown(f1d2),28
lady's candle,425,257,f1d2,Unknown(f1d2),28
plainstrider,965,2,s1f1,Middle La Noscea,8
manor jester,426,273,f1d2,Unknown(f1d2),28
manor steward,427,274,f1d2,Unknown(f1d2),28
manor sentry,428,275,f1d2,Unknown(f1d2),28
Patripatan,966,28,s1f4,Western La Noscea,17
manor claviger,423,272,f1d2,Unknown(f1d2),28
cattle tyrant,1315,12,s1f4,Western La Noscea,18
giant clam,1208,269,s1d1,Unknown(s1d1),15
warden's whip,441,1355,f1r1,Unknown(f1r1),24
Coeurl o' Nine Tails,442,270,f1r1,Unknown(f1r1),24
vile gnat,459,523,f1f4,North Shroud,26
lordless cutpurse,483,522,f1f4,North Shroud,25
banemite,11,526,f1f4,North Shroud,27
lordless footpad,488,524,f1f4,North Shroud,25
foraging stag,460,525,f1f4,North Shroud,26
foraging stag,460,525,f1f4,North Shroud,25
laughing toad,217,527,f1f4,North Shroud,28
clay golem,30,471,f1f4,North Shroud,28
Maisenta Hawke,568,568,f1f4,North Shroud,25
Hastridie Hawke,569,569,f1f4,North Shroud,25
snapscales,462,528,f1f1,Central Shroud,24
goblin outlaw,464,530,f1f1,Central Shroud,25
slithertwine,463,529,f1f1,Central Shroud,25
goblin outlaw,464,531,f1f1,Central Shroud,24
goblin outlaw,464,531,f1f1,Central Shroud,26
goblin outlaw,464,532,f1f1,Central Shroud,26
Stikflix Grumblytoss,465,533,f1f1,Central Shroud,28
domesticated banemite,466,534,f1f3,South Shroud,24
fachan,467,535,f1f3,South Shroud,24
pack ziz,468,536,f1f3,South Shroud,24
Briaxio of the Well,470,538,f1f3,South Shroud,26
cell mite,157,434,f1r1,Unknown(f1r1),0
fleshy pod,437,572,f1r1,Unknown(f1r1),24
warden's whip,441,271,f1r1,Unknown(f1r1),24
infernal nail,1186,210,w1fa,Unknown(w1fa),50
fleshy pod,437,261,f1r1,Unknown(f1r1),24
,0,9,event_test,Unknown(event_test),0
Severaint Seven Splinter,81,85,f1f3,South Shroud,32
hive gate,523,617,f1f3,South Shroud,32
hive gate,523,611,f1f3,South Shroud,32
bomb,1385,596,f1f1,Central Shroud,26
barricade,511,587,f1f1,Central Shroud,25
revenant,236,305,f1f1,Central Shroud,32
halitostroper,2057,2193,f1f1,Central Shroud,31
bomb,1385,596,f1f1,Central Shroud,28
mandragora,107,118,f1f2,East Shroud,13
treant sapling,128,1446,f1f2,East Shroud,14
wolf poacher,241,311,f1f2,East Shroud,18
raptor poacher,239,79,f1f2,East Shroud,18
boar poacher,240,81,f1f2,East Shroud,18
untamed shrew,577,205,w1f2,Central Thanalan,6
Coeurlclaw falconer,601,1430,f1f3,South Shroud,30
hunting falcon,602,1429,f1f3,South Shroud,27
Mun-Tuy lemur,588,6,f1f2,East Shroud,12
Mun-Tuy lemur,588,6,f1f2,East Shroud,11
buzzing djigga,587,44,f1f2,East Shroud,20
3rd Cohort bestiarius,584,559,f1f2,East Shroud,15
3rd Cohort bestiarius,584,559,f1f2,East Shroud,14
black bat,38,1037,s1d1,Unknown(s1d1),15
cave aurelia,1210,1038,s1d1,Unknown(s1d1),15
fossilshell,1211,1039,s1d1,Unknown(s1d1),15
sylvan sough,230,479,f1f3,South Shroud,24
diseased treant,232,24,f1f2,East Shroud,21
glowfly,211,306,f1f2,East Shroud,24
sylvan scream,229,70,f1f2,East Shroud,23
sylvan sough,230,71,f1f2,East Shroud,23
sylvan groan,231,72,f1f2,East Shroud,23
morbol,237,140,f1f2,East Shroud,43
Qiqirn beater,219,170,f1f3,South Shroud,20
revenant,236,305,f1f3,South Shroud,33
Ixali straightbeak,210,115,f1f4,North Shroud,27
Ixali lightwing,208,114,f1f4,North Shroud,27
Ixali deftalon,209,113,f1f4,North Shroud,27
plasmoid,46,46,f1f4,North Shroud,45
spriggan chumbler,576,100,w1f2,Central Thanalan,8
star marmot,262,351,w1f2,Central Thanalan,1
star marmot,262,351,w1f2,Central Thanalan,2
huge hornet,632,385,w1f2,Central Thanalan,1
huge hornet,632,385,w1f2,Central Thanalan,2
giant tortoise,244,1445,w1f2,Central Thanalan,12
pus gnat,125,151,f1f2,East Shroud,17
toxic battrap,123,149,f1f2,East Shroud,20
snapping shrew,318,205,w1f2,Central Thanalan,3
huge hornet,632,385,w1f2,Central Thanalan,3
snapping shrew,318,205,w1f2,Central Thanalan,4
huge hornet,632,385,w1f2,Central Thanalan,4
Amalj'aa impaler,246,735,w1f2,Central Thanalan,6
Amalj'aa striker,254,736,w1f2,Central Thanalan,6
orobon,308,302,w1f2,Central Thanalan,5
antling worker,294,432,w1f2,Central Thanalan,5
hammer beak,282,431,w1f2,Central Thanalan,6
hammer beak,282,431,w1f2,Central Thanalan,7
syrphid cloud,201,41,w1f2,Central Thanalan,5
syrphid cloud,201,41,w1f2,Central Thanalan,6
syrphid cloud,201,41,w1f2,Central Thanalan,7
giant tortoise,244,1445,w1f2,Central Thanalan,17
Qiqirn shellsweeper,266,771,w1f2,Central Thanalan,9
spriggan graverobber,317,100,w1f2,Central Thanalan,7
spriggan graverobber,317,101,w1f2,Central Thanalan,7
hammer beak,282,431,w1f2,Central Thanalan,8
syrphid cloud,201,41,w1f2,Central Thanalan,8
antling worker,294,432,w1f2,Central Thanalan,9
syrphid cloud,201,41,w1f2,Central Thanalan,9
antling sentry,293,197,w1f2,Central Thanalan,12
eft,289,160,w1f2,Central Thanalan,10
antling soldier,292,197,w1f2,Central Thanalan,10
antling soldier,292,197,w1f2,Central Thanalan,11
cochineal cactuar,288,175,w1f2,Central Thanalan,11
antling soldier,292,197,w1f2,Central Thanalan,13
goldvine,1538,1472,r1r2,Unknown(r1r2),47
Miser's Mistress,1532,943,r1r2,Unknown(r1r2),47
toxic toad,216,26,w1f2,Central Thanalan,14
orobon,308,302,w1f2,Central Thanalan,12
orobon,308,302,w1f2,Central Thanalan,14
Quiveron guard,326,352,w1f2,Central Thanalan,11
Quiveron attendant,330,353,w1f2,Central Thanalan,11
sun bat,279,38,w1f2,Central Thanalan,10
sun bat,279,38,w1f2,Central Thanalan,11
sun bat,279,38,w1f2,Central Thanalan,13
sun bat,279,38,w1f2,Central Thanalan,12
sun bat,279,38,w1f2,Central Thanalan,14
Bockman,72,515,f1f1,Central Shroud,10
Coincounter,1533,1470,r1r2,Unknown(r1r2),47
Vale diremite,1545,1480,r1r2,Unknown(r1r2),47
Vale banemite,1544,1479,r1r2,Unknown(r1r2),47
void lamp,148,434,f1d2,Unknown(f1d2),28
Lily of the Vale,1542,1477,r1r2,Unknown(r1r2),47
nether nix,1543,1478,r1r2,Unknown(r1r2),47
poisoned peasant,1546,1481,r1r2,Unknown(r1r2),47
wharf rat,417,347,s1f2,Lower La Noscea,1
wharf rat,417,347,s1f2,Lower La Noscea,2
little ladybug,49,49,s1f2,Lower La Noscea,1
little ladybug,49,49,s1f2,Lower La Noscea,2
rivertoad,349,313,s1f2,Lower La Noscea,4
aurelia,563,324,s1f2,Lower La Noscea,4
aurelia,563,324,s1f2,Lower La Noscea,3
mossless goobbue,354,1447,s1f2,Lower La Noscea,12
little ladybug,49,49,s1f2,Lower La Noscea,4
little ladybug,49,49,s1f2,Lower La Noscea,3
Coeurlclaw catspaw,585,81,f1f2,East Shroud,14
Coeurlclaw hunter,139,1431,f1f3,South Shroud,26
Coeurlclaw poacher,140,1432,f1f3,South Shroud,26
Pawah Mujuuk the Ghost,600,540,f1f3,South Shroud,31
wild dodo,393,339,s1f2,Lower La Noscea,4
tiny mandragora,405,118,s1f2,Lower La Noscea,5
mossless goobbue,354,1447,s1f2,Lower La Noscea,17
nesting buzzard,299,12,s1f2,Lower La Noscea,6
wild dodo,393,339,s1f2,Lower La Noscea,7
wild dodo,393,339,s1f2,Lower La Noscea,9
galago,408,5,s1f2,Lower La Noscea,8
tiny mandragora,405,118,s1f2,Lower La Noscea,8
cave bat,364,38,s1f2,Lower La Noscea,7
wind sprite,115,133,s1f2,Lower La Noscea,4
wind sprite,115,133,s1f2,Lower La Noscea,5
wind sprite,115,133,s1f2,Lower La Noscea,7
wind sprite,115,133,s1f2,Lower La Noscea,8
wind sprite,115,133,s1f2,Lower La Noscea,9
honeybee swarm,553,295,f1f2,East Shroud,8
kobold potman,378,751,s1f2,Lower La Noscea,9
kobold dustman,368,752,s1f2,Lower La Noscea,9
