key,name
393,Blinding Burst
394,Lulling Light
395,Limbs of Lead
396,Hypha Whip
397,Queasy Cloud
398,Slumber Cloud
399,Romp
400,Jittering Jig
401,Frenetic Flurry
402,Haste
403,Fortis
404,Celeris
405,Bomb Toss
406,Bomb Toss
407,Firecracker Shower
408,Wild Rattle
409,Dripping Fang
410,Stone Gaze
411,Backflip
412,Tail Chase
413,Fireball
414,Bombination
415,Whipcrack
416,Golden Tongue
417,Tortoise Stomp
418,Harden Shell
419,Lateral Slash
420,Whetstone
421,Smite of Rage
422,Grand Slam
423,Coming Storm
424,Swift Gust
425,Reflect
426,Enfire
427,Enblizzard
428,Enaero
429,Enstone
430,Enthunder
431,Enwater
432,Drain
433,
434,
435,
436,
437,
438,
439,
440,Canopy
441,Arboreal Storm
442,Acorn Bomb
443,Stone Skull
444,Boulder Clap
445,True Grit
446,the Dragon's Breath
447,登場
448,Stagnant Spray
449,Eerie Light
450,Peculiar Light
451,攻撃
452,Sear
453,Incinerate
454,Vulcan Burst
455,Eruption
456,Radiant Plume
457,Crimson Cyclone
458,Hellfire
459,イフリート：ジャンプ
460,イフリート：着地
461,イフリート：炎獄の楔召喚
462,イフリート：角復活
463,イフリート：怒りオン
464,炎獄の楔：出現
465,炎獄の楔：死亡
466,
467,
468,
469,
470,
471,
472,
473,
474,Barbaric Surge
475,Triple Threat
476,Footwork
477,Gut Rip
478,Backhand Blow
479,Rise and Fall
480,Photosynthesis
481,Photorespiration
482,Plaincracker
483,Rockslide
484,Calcify
485,汎用：詩人技：回避アップ歌
486,汎用：詩人技：攻撃アップ歌
487,汎用：詩人技：防御アップ歌
488,Cold Caress
489,Sweet Steel
490,Devastate
491,Infuriate
492,Piercing Arrow
493,汎用：巴術技：単体スロウ
494,汎用：巴術技：単体防御DOWN
495,Faze
496,Sandslinger
497,Body Slam
498,Cold Gaze
499,Stone Gaze
500,Run Amok
501,50 Needles
502,100 Needles
503,1000 Needles
504,Hammer Beak
505,Petribreath
506,Numbing Breath
507,Poison Breath
508,Slumber Breath
509,Howl
510,Foul Bite
511,Sanguine Bite
512,Cursed Gaze
513,Dread Gaze
514,Level 5 Petrify
515,Vulcanize
516,Shatter
517,Burning Cyclone
518,Levinshower
519,Levinfang
520,Head Butt
521,Seismic Scream
522,Lanolin
523,Trap Jaws
524,Acid Spray
525,Drill Cannons
526,Cermet Drill
527,Overcharge
528,Sand Breath
529,Sandstorm
530,Poison Breath
531,Earthbreak
532,Earthquake
533,Sand Pillar
534,Grand Sword
535,Grand Strike
536,Disruptor
537,Magitek Ray
538,Overheat
539,Exhaust
540,Magitek Field
541,Gnaw
542,Seaspray
543,Sandspray
544,Feeding Frenzy
545,Pulverizing Pound
546,Seismic Rift
547,Seismic Rift
548,Khoomii
549,Sonorous Blast
550,Encierro
551,Soil Coat
552,Spine Stream
553,Titan's Boon
554,Titan's Anger
555,Water Cannon
556,Hydroball
557,Lacerate
558,Salivous Snap
559,Dragon Breath
560,Granite Rain
561,Spinning Kick
562,Groundburst
563,Toxic Vomit
564,Touchdown
565,カラードラゴン：飛び立ち消滅
566,Bubble Shower
567,Big Scissors
568,Bubble Bath
569,Crab Dribble
570,Peck
571,Fowl Stench
572,Rancid Belch
573,Flying Sardine
574,Regurgitate
575,Beatdown
576,Inhale
577,Swallow
578,Spit
579,Moldy Sneeze
580,Sickly Sneeze
581,Black Hole
582,Worm Hole
583,the Look
584,Rotten Breath
585,Curse
586,Malice
587,Pervasion
588,Numbing Tendrils
589,Irritating Tendrils
590,Bleat
591,Fleece Butt
592,Lullaby
593,Floral Bouquet
594,Scream
595,Catapult
596,Bestial Bay
597,ドラゴン毒沼：発生ループ
598,ドラゴン毒沼：消滅
599,Aqua Vitae
600,Bone Powder
601,Beak Snap
602,Overtone Shriek
603,Shriek
604,Bad Breath
605,Sweet Breath
606,Vine Probe
607,Defensive Maneuvers
608,Shred
609,the Hand
610,Death Grip
611,デスクロー：デスクロー解除
612,Straight Punch
613,Elbow Drop
614,Heartburn
615,Absent-mindedness
616,Hot Hands
617,Hot Horns
618,Double Smash
619,Corrupted Tail
620,Grim Cleaver
621,Grim Halo
622,Desolation
623,Hellssend
624,Grim Fate
625,10-tonze Swipe
626,10-tonze Swing
627,100-tonze Swipe
628,100-tonze Swing
629,Glower
630,Animal Instinct
631,Eye of the Beholder
632,Smoldering Scales
633,Gouge
634,Shining Topaz
635,Curl
636,Storm
637,Gust
638,Backdraft
639,Downburst
640,Shining Emerald
641,Rock Buster
642,Tumult
643,Mountain Buster
644,Weight of the Land
645,Rock Throw
646,Boulder Throw
647,Grim Cleaver
648,Grim Fate
649,Desolation
650,Landslide
651,Geocrush
652,Earthen Fury
653,タイタン：心臓露出
654,タイタン：飛ぶ
655,タイタン：着地する
656,Friction
657,Downburst
658,Wicked Wheel
659,Slipstream
660,Mistral Song
661,Mistral Shriek
662,Aerial Blast
663,Great Whirlwind
664,Eye of the Storm
665,Featherlance
666,Thermal Tumult
667,Mistral Song
668,Mirage
669,Wild Rattle
670,Liquid Hell
671,Twister
672,Corrupted Tail
673,Electromagnetism
674,attack
675,Firestream
676,Flame Breath
677,self-destruct
678,self-destruct
679,Mana Cannon
680,Obliterate
681,Eyes on Me
682,attack
683,White Breath
684,ヒュドラ：首再生
685,Ball of Fire
686,Ball of Fire
687,Ball of Ice
688,Ball of Ice
689,Radiant Breath
690,Thrashing Star
691,Cannibalize
692,Colossal Slam
693,ヘカトンケイルリーダー：壁殴り
694,Immortalize
695,ヘカトンケイルメイジ：壁殴り
696,汎用：逃げる
697,Realm Shaker
698,Sticky Web
699,蜘蛛：コチュー落下予兆
700,蜘蛛：コチュー落下
701,Silkscreen
702,Deadly Thrust
703,蜘蛛：毒エリア
704,Tail Molt
705,Dark Mist
706,Void Lamp
707,Void Fire
708,ヒュドラ：右側首A破壊
709,ヒュドラ：右側首B破壊
710,ヒュドラ：左側首A破壊
711,ヒュドラ：左側首B破壊
712,ヒュドラ：右側首A復活
713,ヒュドラ：右側首B復活
714,ヒュドラ：左側首A復活
715,ヒュドラ：左側首B復活
716,Raging Arrow
717,Fast Blade
718,Shield Bash
719,Sentinel
720,Overpower
721,Featherfoot
722,True Thrust
723,Wide Volley
724,Digest
725,Fluid Spread
726,Fluid Spread
727,Fluid Spread
728,Fluid Spread
729,汎用：詩人技：ヘヴィショット
730,Pod Burst
731,Bile Drain
732,Silken Fingers
733,Eruption
734,Radiant Plume
735,Miasma Breath
736,Dark Wave
737,Lunge
738,Electric Velitation
739,Bloody Claw
740,Terror Eye
741,Triumphant Roar
742,Black Revel
743,Mudslinger
744,Haste
745,Dark Thorn
746,Soul Douse
747,
748,
749,Apocalypse
750,Evil Eye
751,Chaos Breath
752,
753,
754,
755,
756,
757,
758,Black Cloud
759,Blighted Gloom
760,Cloudscourge
761,
762,Crepuscule Blade
763,Knout
764,Burst
765,Fulmination
766,Shock
767,Shock
768,Comet
769,Cosmic Shrapnel
770,Thunderbolt
771,Charybdis
772,Charybdis
773,Wild Horn
774,ベヒーモス：二本足
775,Trounce
776,Ecliptic Meteor
777,attack
778,Gungnir
779,Darksteel Reins
780,Zantetsuken
781,Hall of Stone
782,Hall of Sorrow
783,Valknut
784,Hall of Lead
785,Einherjar
786,Hopelessness
787,Rock Buster
788,Mountain Buster
789,Earthen Ward
790,Landslide
791,Earthen Fury
792,Wind Blade
793,Shockwave
794,Aerial Slash
795,Contagion
796,Aerial Blast
797,Crimson Cyclone
798,Burning Strike
799,Radiant Shield
800,Flaming Crush
801,Inferno
802,Embrace
803,Whispering Dawn
804,Fey Covenant
805,Fey Illumination
806,Embrace
807,Silent Dusk
808,Fey Glow
809,Fey Light
810,Fey Caress
811,Fey Wind
812,
813,
814,
815,
816,
817,Choco Strike
818,Choco Guard
819,Choco Kick
820,Choco Drop
821,Choco Blast
822,Choco Rush
823,Choco Beak
824,Choco Slash
825,Choco Medica
826,Choco Surge
827,Choco Cure
828,Choco Regen
829,Hundred Fists
830,汎用：絶対回避
831,コボルド：大型爆弾
832,コボルド：範囲被ダメージカット
833,コボルド：範囲被ダメージカット強
834,Jumping Thrust
835,Ambuscade
836,シュポシェ池：出現予兆
837,シュポシェ池：予兆解除
838,シュポシェ池：出現
839,Detonation
840,Massive Detonation
841,
842,
843,
844,
845,
846,
847,
848,
849,
850,Unpacking Minion
851,
852,
853,
854,Void Fire III
855,Void Fire II
856,Void Thunder III
857,Bomb Hurl
858,Phlebotomize
859,Ice Spikes
860,Soul Drain
861,Drunken Fists
862,Mini Detonation
863,Acorn Armageddon
864,Flaming Crush
865,Gutripper
866,Heartstopper
867,Void Call
868,Seduce
869,Cold Mist
870,attack
871,attack
872,attack
873,attack
874,attack
875,attack
876,attack
877,attack
878,attack
879,attack
880,attack
881,attack
882,attack
883,attack
884,attack
885,attack
886,attack
887,attack
888,attack
889,attack
890,attack
891,attack
892,attack
893,attack
894,attack
895,attack
896,attack
897,attack
898,attack
899,attack
900,Tornado
901,Rake
902,the Lion's Breath
903,Swinge
904,Sprout Smack
905,Sprout Spin
906,Stolon
907,Small Claw
908,FF11クラブ：泡ブレス
909,Screwdriver
910,Water Wall
911,Dark Orb
912,Condemnation
913,Painful Whip
914,Gas Shell
915,Bearclaw
916,Filoplumage
917,Gust
918,Sharp Sting
919,Final Sting
920,Foreburst
921,Wind Shear
922,Zephyr Mantle
923,Loop
924,Slowcall
925,FF12ミリアムガード：マップOBJ召喚武器投げ
926,FF12ミリアムガード：マップOBJ召喚4つ同時
927,Creeping Darkness
928,Darkness
929,Verge Line
930,Verge Pulse
931,Mow
932,Triclip
933,Frightful Roar
934,Mortal Ray
935,Caudal Swipe
936,Crushing Fangs
937,Flatten
938,Threaten
939,Standing Chine
940,Kneeling Snath
941,Moldy Phlegm
942,Goobbue's Grief
943,Amorphic Flail
944,
945,Sharpened Knife
946,the Scourge of Nym
947,Everyone's Grudge
948,Throat Stab
949,Rancor Release
950,Inhale
951,Eyes on Me
952,アーリマン：仲間を呼ぶ
953,Ceruleum Pillar
954,Firewater
955,Boulderdash
956,Sand Pillar
957,Sand Pillar
958,Desolation
959,Sand Pillar
960,Sea of Pitch
961,透明：ガーゴイル暗黒沼発生
962,Sea of Pitch
963,Barbaric Surge
964,Aqua Vitae
965,Peck
966,Fire
967,Blizzard
968,Thunder
969,Aero
970,Stone
971,Water
972,Scathe
973,Weight of the Land
974,Nerve Sever
975,Neck Rip
976,Lap
977,Cap Bump
978,Bog Bomb
979,Effluvium
980,Bog Bubble
981,Stagnant Spray
982,Eerie Light
983,Whistle
984,Burning Cyclone
985,Levinshower
986,Screwdriver
987,Mind Blast
988,Drain Touch
989,Grand Slam
990,Bang Toss
991,Bravado
992,Goblin Attack
993,Scorched Earth
994,うろこトカゲ：雷属性ON
995,Electrify
996,Bubble Burst
997,Mark of Pain
998,Dark Dome
999,Nerve Sever
1000,Sandslinger
1001,Telega
1002,Clamor
1003,Iron Tempest
1004,Salivous Snap
1005,Overpower
1006,Labored Leap
1007,Detonator
1008,Stoneskin
1009,Cure
1010,Body Slam
1011,Levinshower
1012,Double Smash
1013,
1014,Acid Mist
1015,Wing Cutter
1016,Water II
1017,Collapse
1018,Spiked Tail
1019,Typhoon
1020,Typhoon
1021,Blazing Trail
1022,Frost Breath
1023,Sheet of Ice
1024,Sheet of Ice
1025,Rime Wreath
1026,Cauterize
1027,Touchdown
1028,Snowfall
1029,大砲：発射：成功
1030,Blazing Trail
1031,Hundred Lashings
1032,Gold Rush
1033,Gold Dust
1034,10-tonze Swipe
1035,100-tonze Swipe
1036,Bad Breath
1037,Vine Probe
1038,Burr Burrow
1039,Hooked Burrs
1040,Germinate
1041,ベビーモルボル専用：AA/モルボル菌つき
1042,Gold Bile Plume
1043,Gold Bile Plume
1044,Murder Hole
1045,Liquefy
1046,Liquefy
1047,Repel
1048,Void Fire II
1049,Thunderstrike
1050,Thunderstorm
1051,Bury
1052,Burst
1053,
1054,
1055,
1056,Inspirit
1057,Vasoconstrictor
1058,
1059,Level 5 Death
1060,Oiled Arrow
1061,Nascent Flash
1062,Nascent End
1063,
1064,Skydragon Dive
1065,Voice of Valor
1066,堅忍の誉れ
1067,無敵の進撃マーチ（仮）
1068,Blast Wave
1069,Bubble Burst
1070,Soothing Song
1071,Plasma Release
1072,the Look
1073,Tail Drive
1074,Imminent Catastrophe
1075,Plague Dance
1076,Bubonic Cloud
1077,Terror Eye
1078,Mind Melt
1079,Canker
1080,Reanimate
1081,Sow
1082,Void Call
1083,Void Fire III
1084,Void Fire II
1085,Void Thunder III
1086,Rockslide
1087,Plaincracker
1088,Obliterate
1089,potent blinding potion
1090,Moldy Sneeze
1091,Bubo Burst
1092,Meteor Strike
1093,Pulse Wave
1094,Spirit Pulse
1095,Ultimate Focus
1096,Ultimate Focus
1097,Thunderstrike
1098,Spirits Without
1099,Bloodstain
1100,Condemnation
1101,the Lion's Breath
1102,the Ram's Breath
1103,the Dragon's Breath
1104,the Ram's Voice
1105,the Dragon's Voice
1106,the Ram's Keeper
1107,Cacophony
1108,Chaotic Chorus
1109,Mandible Bite
1110,Formic Pheromones
1111,Sand Cyclone
1112,Bottomless Desert
1113,Sand Pillar
1114,Eyes on Me
1115,Firewater
1116,Star Map
1117,Silence
1118,Paralyze
1119,Slow
1120,Water
1121,Boulderdash
1122,Straight Punch
1123,Straight Punch
1124,Elbow Drop
1125,Double Smash
1126,Telega
1127,Ravage
1128,Magitek Cannon
1129,Photon Stream
1130,Labored Leap
1131,Hot Hands
1132,Hellssend
1133,Last Resort
1134,Cannonfire
1135,Rive
1136,Collapse
1137,Shield Skewer
1138,Winds of Tartarus
1139,Gate of Tartarus
1140,Shrapnel Shell
1141,Drill Shot
1142,Firebomb
1143,Magitek Missiles
1144,Magitek Missiles
1145,Delta Trance
1146,Roundhouse
1147,Stunning Sweep
1148,Aglaia Bite
1149,Angry Salamander
1150,Aglaia Climb
1151,Order to Attack
1152,Sideswing
1153,Spine Shatter
1154,Wheel of Suffering
1155,Iron Uprising
1156,Augmented Suffering
1157,Augmented Uprising
1158,Augmented Shatter
1159,Eye for an Eye
1160,Rouse
1161,Stone Gaze
1162,Dragon's Blood
1163,Rotten Meat
1164,Spirit Dart
1165,Throat Stab
1166,Viscous Discharge
1167,Aetherial Surge
1168,魔導ジャガーノート：GT攻撃
1169,魔導ジャガーノート：前方扇範囲攻撃
1170,Equalizer
1171,Neutralizer
1172,Photon Stream
1173,アルテマウェポン：アルテマ弾/生成
1174,Aetheroplasm
1175,Diffractive Laser
1176,Forward Laser
1177,Forward Laser
1178,Forward Laser
1179,Ceruleum Vent
1180,Homing Lasers
1181,Rock Throw
1182,Vulcan Burst
1183,Aerial Blast
1184,Landslide
1185,Boulder Throw
1186,Eruption
1187,Earthen Fury
1188,Radiant Plume
1189,Hellfire
1190,Tank Purge
1191,Assault Cannon
1192,Freefire
1193,Ultima
1194,Ultima
1195,Innocence
1196,Heirsbane
1197,Hand of the Empire
1198,Terminus Est
1199,Sentence
1200,人型：黒将軍/魔導火フィールド
1201,Judgment
1202,Terminus Est
1203,Judgment
1204,Magitek Cannon
1205,Clearout
1206,Clearout
1207,attack
1208,Hood Swing
1209,Whip Back
1210,Regorge
1211,Steel Scales
1212,Disseminate
1213,Rupture
1214,Syrup
1215,attack
1216,High Voltage
1217,Repelling Cannons
1218,Allagan Rot
1219,Allagan Rot
1220,Gravity Field
1221,Ballast
1222,Ballast
1223,Ballast
1224,Vacuum Wave
1225,Chain Lightning
1226,Firestream
1227,Piercing Laser
1228,Node Retrieval
1229,Object 199
1230,Leech
1231,Headspin
1232,Emergency Cooldown
1233,Headspin
1234,Emergency Cooldown
1235,Countershot
1236,Gravity Thrust
1237,Pox
1238,Rotoswipe
1239,Bot Retrieval
1240,Plummet
1241,Death Sentence
1242,Death Sentence
1243,Liquid Hell
1244,Firestorm
1245,Firestorm
1246,Fireball
1247,Divebomb
1248,Aetheric Profusion
1249,Twister
1250,Twister
1251,Unwoven Will
1252,Sustained Blast
1253,Sustained Blast
1254,Fireball
1255,Hatch
1256,Hatch
1257,Caber Toss
1258,Emergency Override
1259,Spellsword
1260,Death's Door
1261,Heave
1262,Phantom Orb
1263,Incinerate
1264,Steam Clean
1265,Wrecking Ball
1266,Inferno
1267,Whirlwind
1268,Umbral Vise
1269,Skyward Swing
1270,Thunder II
1271,Army of One
1272,attack
1273,attack
1274,attack
1275,Self-destruct
1276,
1277,Blazing Trail
1278,Triumvirate
1279,Mean Thrash
1280,Fear Itself
1281,Bravery
1282,the Scorpion's Sting
1283,Static Charge
1284,Gelid Charge
1285,the Ram's Voice
1286,Overclock
1287,Light Succor
1288,Benight
1289,Gravity Force
1290,Stop
1291,Backstep
1292,Sidestep
1293,Sidestep
1294,Swift Shadow
1295,Pain Flare
1296,Telega
1297,Burning Tendrils
1298,Burning Tendrils
1299,Rive
1300,Tackle
1301,Pluto
1302,Regeneration
1303,Duplicity
1304,Dark Blizzard III
1305,Dark Fire III
1306,Summon I
1307,Summon II
1308,Acid Mist
1309,Spiked Tail
1310,
1311,Web of Lightning
1312,Stoneskin
1313,Inner Beastman
1314,Aggravate
1315,Chain Lightning
1316,Ring of Frost
1317,the Traders' Spurn
1318,Jump
1319,the Dragon's Curse
1320,the Dragon's Curse
1321,the Dragon's Curse
1322,
1323,Radiant Shield
1324,Inferno
1325,Embrace
1326,
1327,Everyone's Grudge
1328,Someone's Grudge
1329,Siren Song
1330,Hell Slash
1331,Stone
1332,Earthen Fury
1333,Boulder Clap
1334,Shockwave
1335,Aerial Blast
1336,the Ram's Breath
1337,the Dragon's Breath
1338,the Dragon's Voice
1339,the Ram's Keeper
1340,Cacophony
1341,Elemental Angst
1342,the Lion's Breath
1343,Ballast
1344,attack
1345,Blessing of Light
1346,attack
1347,attack
1348,Last Supper
1349,Armageddon
1350,attack
1351,
1352,attack
1353,Incinerate
1354,Vulcan Burst
1355,Eruption
1356,Radiant Plume
1357,Hellfire
1358,Eruption
1359,Radiant Plume
1360,Rock Buster
1361,Tumult
1362,Weight of the Land
1363,Weight of the Land
1364,Landslide
1365,Geocrush
1366,Earthen Fury
1367,Grand Sword
1368,Grand Strike
1369,Disruptor
1370,Magitek Ray
1371,Overheat
1372,Exhaust
1373,Magitek Field
1374,Dark Orb
1375,Sea of Pitch
1376,Grip of Night
1377,Shadow Flare
1378,Dirty Cannons
1379,Friction
1380,Downburst
1381,Wicked Wheel
1382,Slipstream
1383,Mistral Song
1384,Mistral Shriek
1385,Aerial Blast
1386,Great Whirlwind
1387,Eye of the Storm
1388,Featherlance
1389,Thermal Tumult
1390,Mistral Song
1391,Sea of Pitch
1392,the Scourge of Nym
1393,Poison Breath
1394,Fire
1395,Blizzard
1396,Thunder
1397,Aero
1398,Stone
1399,Magitek Ray
1400,Magitek Ray
1401,Magitek Ray
1402,Eruption
1403,Radiant Plume
1404,Crimson Cyclone
1405,Hellfire
1406,Burst
1407,Geocrush
1408,Earthen Fury
1409,Mistral Song
1410,Eye of the Storm
1411,Aerial Blast
1412,attack
1413,Mow
1414,Triclip
1415,attack
1416,Stone Skull
1417,Boulder Clap
1418,True Grit
1419,Rockslide
1420,attack
1421,Magitek Ray
1422,Magitek Ray
1423,Magitek Ray
1424,Weight of the Land
1425,Grand Sword
1426,Magitek Ray
1427,Exhaust
1428,Grand Strike
1429,Photon Stream
1430,Magitek Cannon
1431,Photon Stream
1432,Magitek Cannon
1433,Drill Cannons
1434,Cermet Drill
1435,Overcharge
1436,Blessing of Light
1437,Cannonfire
1438,Photon Stream
1439,Magitek Cannon
1440,Dark Blizzard III
1441,Dark Fire III
1442,the Dragon's Voice
1443,Blast Wave
1444,Aqua Vitae
1445,Obliterate
1446,Boulder Clap
1447,High Voltage
1448,Repelling Cannons
1449,Chain Lightning
1450,Piercing Laser
1451,Firestorm
1452,Fireball
1453,Hatch
1454,Devour
1455,the Hand
1456,Divebomb
1457,Liquid Hell
1458,Death Sentence
1459,attack
1460,attack
1461,attack
1462,
1463,Rock Buster
1464,Mountain Buster
1465,Tumult
1466,Upheaval
1467,Landslide
1468,Landslide
1469,Weight of the Land
1470,Weight of the Land
1471,Burst
1472,Geocrush
1473,Earthen Fury
1474,Upheaval
1475,Landslide
1476,Tumult
1477,Granite Sepulchre
1478,
1479,
1480,
1481,
1482,attack
1483,Deathly Verse
1484,Feral Lunge
1485,Lunatic Voice
1486,Song of Torment
1487,Deathly Cadenza
1488,attack
1489,Flying Frenzy
1490,Caustic Vomit
1491,Breath Wing
1492,Rotoswipe
1493,Climb
1494,Sonic Storm
1495,Alight
1496,attack
1497,Sonic Boom
1498,Corrupting Shot
1499,Corrupting Spit
1500,Corrupting Burst
1501,Crystalline Shot
1502,Giga Slash
1503,Viscous Aetheroplasm
1504,Ceruleum Vent
1505,Homing Lasers
1506,Diffractive Laser
1507,Magitek Ray
1508,Magitek Ray
1509,Magitek Ray
1510,Aetheroplasm
1511,Aetheric Boom
1512,Aetheroplasm
1513,Fusion Burst
1514,Tank Purge
1515,Freefire
1516,Ultima
1517,Mistral Song
1518,Vulcan Burst
1519,Eye of the Storm
1520,Geocrush
1521,Radiant Plume
1522,Weight of the Land
1523,Burst
1524,Eruption
